2026-01-21 21:27:31 | INFO     | snakemake_logger_plugin_rich_loguru.utils:setup_analysis_logging:73 | [bold green]Analysis Script Initialized[/bold green]
2026-01-21 21:27:31 | INFO     | snakemake_logger_plugin_rich_loguru.utils:setup_analysis_logging:74 | Log file: logs/analysis_2026-01-21_21-27-31.log
2026-01-21 21:27:31 | WARNING  | rules.utils.reference_update:resolve_reference_paths:48 | Lsat_Salinas_v11 未在 STAR_index 中定义，跳过。
2026-01-21 21:27:31 | WARNING  | rules.utils.reference_update:resolve_reference_paths:48 | GO 未在 STAR_index 中定义，跳过。
2026-01-21 21:27:31 | INFO     | rules.utils.validate:validate_genome_version:170 | Genome version verified: 'Lsat_Salinas_v11' is supported.
2026-01-21 21:27:31 | INFO     | snakemake.workflow:<module>:15 | [bold blue]RNAFlow Pipeline Started[/bold blue]
2026-01-21 21:27:31 | INFO     | snakemake.workflow:<module>:16 | Start Time: 2026-01-21 21:27:31
2026-01-21 21:27:31 | INFO     | snakemake.workflow:<module>:17 | System: Linux 5.4.0-216-generic
2026-01-21 21:27:31 | INFO     | snakemake.workflow:<module>:18 | Python Version: 3.13.5
2026-01-21 21:27:31 | INFO     | snakemake.workflow:<module>:23 | Snakemake Version: 9.9.0
2026-01-21 21:27:31 | INFO     | snakemake.workflow:<module>:27 | Working Directory: /data/jzhang/project/Temp/atac_human_PRJNA427322/01.workflow
2026-01-21 21:27:31 | INFO     | snakemake.workflow:<module>:30 | Pipeline Configuration:
2026-01-21 21:27:31 | INFO     | snakemake.workflow:<module>:31 |   Project: PRJNA1224991
2026-01-21 21:27:31 | INFO     | snakemake.workflow:<module>:32 |   Workflow Dir: /data/jzhang/project/Temp/atac_human_PRJNA427322/01.workflow
2026-01-21 21:27:31 | INFO     | snakemake.workflow:<module>:33 |   Sample CSV: /data/jzhang/project/Temp/atac_human_PRJNA427322/01.workflow/samples.csv
2026-01-21 21:27:31 | INFO     | snakemake.workflow:<module>:34 |   Reference: Lsat_Salinas_v11
2026-01-21 21:27:31 | INFO     | snakemake.workflow:<module>:36 | ------------------------------------------------------------
2026-01-21 21:27:31 | INFO     | snakemake.workflow:<module>:37 | Runtime information captured.
2026-01-21 21:27:31 | INFO     | snakemake.workflow:<module>:38 | ------------------------------------------------------------
2026-01-21 21:27:31 | DEBUG    | rules.utils.resource_manager:rule_resource:60 | Running locally. Stripping queue params for 'high_resource'.
2026-01-21 21:27:31 | DEBUG    | rules.utils.resource_manager:rule_resource:60 | Running locally. Stripping queue params for 'high_resource'.
2026-01-21 21:27:31 | DEBUG    | rules.utils.resource_manager:rule_resource:60 | Running locally. Stripping queue params for 'low_resource'.
2026-01-21 21:27:31 | DEBUG    | rules.utils.resource_manager:rule_resource:60 | Running locally. Stripping queue params for 'low_resource'.
2026-01-21 21:27:31 | DEBUG    | rules.utils.resource_manager:rule_resource:60 | Running locally. Stripping queue params for 'low_resource'.
2026-01-21 21:27:31 | DEBUG    | rules.utils.resource_manager:rule_resource:60 | Running locally. Stripping queue params for 'low_resource'.
2026-01-21 21:27:31 | DEBUG    | rules.utils.resource_manager:rule_resource:60 | Running locally. Stripping queue params for 'low_resource'.
2026-01-21 21:27:31 | DEBUG    | rules.utils.resource_manager:rule_resource:60 | Running locally. Stripping queue params for 'high_resource'.
2026-01-21 21:27:31 | DEBUG    | rules.utils.resource_manager:rule_resource:60 | Running locally. Stripping queue params for 'high_resource'.
2026-01-21 21:27:31 | DEBUG    | rules.utils.resource_manager:rule_resource:60 | Running locally. Stripping queue params for 'low_resource'.
2026-01-21 21:27:31 | DEBUG    | rules.utils.resource_manager:rule_resource:60 | Running locally. Stripping queue params for 'low_resource'.
2026-01-21 21:27:31 | DEBUG    | rules.utils.resource_manager:rule_resource:60 | Running locally. Stripping queue params for 'high_resource'.
2026-01-21 21:27:31 | DEBUG    | rules.utils.resource_manager:rule_resource:60 | Running locally. Stripping queue params for 'low_resource'.
2026-01-21 21:27:31 | DEBUG    | rules.utils.resource_manager:rule_resource:60 | Running locally. Stripping queue params for 'high_resource'.
2026-01-21 21:27:31 | DEBUG    | rules.utils.resource_manager:rule_resource:60 | Running locally. Stripping queue params for 'high_resource'.
2026-01-21 21:27:31 | DEBUG    | rules.utils.resource_manager:rule_resource:60 | Running locally. Stripping queue params for 'low_resource'.
2026-01-21 21:27:31 | DEBUG    | rules.utils.resource_manager:rule_resource:60 | Running locally. Stripping queue params for 'medium_resource'.
2026-01-21 21:27:31 | DEBUG    | rules.utils.resource_manager:rule_resource:60 | Running locally. Stripping queue params for 'high_resource'.
